Image,Class,presence_of_liquid_contents,visible_food_ingredients,surface_decoration,material_appearance,context_of_use,presence_of_steam_or_heat,handles_or_lugs,shape_complexity,color_palette,presence_of_utensils,raw_llm_output
n07590611_1.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = ceramic,context_of_use = in use,presence_of_steam_or_heat = no steam/heat,handles_or_lugs = not visible,shape_complexity = simple shape,color_palette = earthy,presence_of_utensils = no utensils,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""ceramic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""no steam/heat"", ""handles_or_lugs"": ""not visible"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""earthy"", ""presence_of_utensils"": ""no utensils""}]"
n07590611_10019.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = ceramic,context_of_use = in use,presence_of_steam_or_heat = steam/heat visible,handles_or_lugs = no handles,shape_complexity = simple shape,color_palette = earthy,presence_of_utensils = utensils present,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""ceramic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""steam/heat visible"", ""handles_or_lugs"": ""no handles"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""earthy"", ""presence_of_utensils"": ""utensils present""}]"
n07590611_10068.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = metallic,context_of_use = in use,presence_of_steam_or_heat = steam/heat visible,handles_or_lugs = handles present,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = utensils present,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""metallic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""steam/heat visible"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""utensils present""}]"
n07590611_10109.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = ceramic,context_of_use = in use,presence_of_steam_or_heat = no steam/heat,handles_or_lugs = no handles,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = no utensils,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""ceramic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""no steam/heat"", ""handles_or_lugs"": ""no handles"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""no utensils""}]"
n07590611_1011.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = ceramic,context_of_use = in use,presence_of_steam_or_heat = no steam/heat,handles_or_lugs = no handles,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = no utensils,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""ceramic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""no steam/heat"", ""handles_or_lugs"": ""no handles"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""no utensils""}]"
n07590611_10126.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = ceramic,context_of_use = in use,presence_of_steam_or_heat = no steam/heat,handles_or_lugs = not visible,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = no utensils,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""ceramic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""no steam/heat"", ""handles_or_lugs"": ""not visible"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""no utensils""}]"
n07590611_10139.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = minimal decoration,material_appearance = ceramic,context_of_use = in use,presence_of_steam_or_heat = no steam/heat,handles_or_lugs = no handles,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = utensils present,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""minimal decoration"", ""material_appearance"": ""ceramic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""no steam/heat"", ""handles_or_lugs"": ""no handles"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""utensils present""}]"
n07590611_1014.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = ceramic,context_of_use = in use,presence_of_steam_or_heat = no steam/heat,handles_or_lugs = handles present,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = utensils present,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""ceramic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""no steam/heat"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""utensils present""}]"
n07590611_10158.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = metallic,context_of_use = in use,presence_of_steam_or_heat = steam/heat visible,handles_or_lugs = no handles,shape_complexity = simple shape,color_palette = metallic,presence_of_utensils = utensils present,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""metallic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""steam/heat visible"", ""handles_or_lugs"": ""no handles"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""metallic"", ""presence_of_utensils"": ""utensils present""}]"
n07590611_1016.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = metallic,context_of_use = in use,presence_of_steam_or_heat = steam/heat visible,handles_or_lugs = handles present,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = no utensils,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""metallic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""steam/heat visible"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""no utensils""}]"
n07590611_10194.JPEG,hotpot,presence_of_liquid_contents = liquid absent,visible_food_ingredients = food visible,surface_decoration = minimal decoration,material_appearance = ceramic,context_of_use = in use,presence_of_steam_or_heat = no steam/heat,handles_or_lugs = handles present,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = no utensils,"[{""presence_of_liquid_contents"": ""liquid absent"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""minimal decoration"", ""material_appearance"": ""ceramic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""no steam/heat"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""no utensils""}]"
n07590611_10233.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = metallic,context_of_use = in use,presence_of_steam_or_heat = steam/heat visible,handles_or_lugs = handles present,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = no utensils,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""metallic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""steam/heat visible"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""no utensils""}]"
n07590611_10262.JPEG,hotpot,presence_of_liquid_contents = liquid absent,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = metallic,context_of_use = in use,presence_of_steam_or_heat = no steam/heat,handles_or_lugs = handles present,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = no utensils,"[{""presence_of_liquid_contents"": ""liquid absent"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""metallic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""no steam/heat"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""no utensils""}]"
n07590611_10268.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = metallic,context_of_use = in use,presence_of_steam_or_heat = steam/heat visible,handles_or_lugs = handles present,shape_complexity = simple shape,color_palette = metallic,presence_of_utensils = no utensils,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""metallic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""steam/heat visible"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""metallic"", ""presence_of_utensils"": ""no utensils""}]"
n07590611_10299.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = ceramic,context_of_use = in use,presence_of_steam_or_heat = steam/heat visible,handles_or_lugs = handles present,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = no utensils,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""ceramic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""steam/heat visible"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""no utensils""}]"
n07590611_1031.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = minimal decoration,material_appearance = metallic,context_of_use = in use,presence_of_steam_or_heat = steam/heat visible,handles_or_lugs = handles present,shape_complexity = simple shape,color_palette = metallic,presence_of_utensils = utensils present,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""minimal decoration"", ""material_appearance"": ""metallic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""steam/heat visible"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""metallic"", ""presence_of_utensils"": ""utensils present""}]"
n07590611_10312.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = ceramic,context_of_use = in use,presence_of_steam_or_heat = no steam/heat,handles_or_lugs = handles present,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = utensils present,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""ceramic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""no steam/heat"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""utensils present""}]"
n07590611_10336.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = metallic,context_of_use = in use,presence_of_steam_or_heat = steam/heat visible,handles_or_lugs = handles present,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = utensils present,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""metallic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""steam/heat visible"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""utensils present""}]"
n07590611_10340.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = minimal decoration,material_appearance = metallic,context_of_use = in use,presence_of_steam_or_heat = no steam/heat,handles_or_lugs = handles present,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = no utensils,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""minimal decoration"", ""material_appearance"": ""metallic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""no steam/heat"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""no utensils""}]"
n07590611_10341.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = minimal decoration,material_appearance = metallic,context_of_use = in use,presence_of_steam_or_heat = steam/heat visible,handles_or_lugs = handles present,shape_complexity = complex shape,color_palette = food colors,presence_of_utensils = utensils present,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""minimal decoration"", ""material_appearance"": ""metallic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""steam/heat visible"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""complex shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""utensils present""}]"
n07590611_1038.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = ceramic,context_of_use = in use,presence_of_steam_or_heat = no steam/heat,handles_or_lugs = no handles,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = utensils present,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""ceramic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""no steam/heat"", ""handles_or_lugs"": ""no handles"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""utensils present""}]"
n07590611_1042.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = metallic,context_of_use = in use,presence_of_steam_or_heat = steam/heat visible,handles_or_lugs = handles present,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = utensils present,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""metallic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""steam/heat visible"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""utensils present""}]"
n07590611_10453.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = metallic,context_of_use = in use,presence_of_steam_or_heat = steam/heat visible,handles_or_lugs = handles present,shape_complexity = simple shape,color_palette = metallic,presence_of_utensils = utensils present,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""metallic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""steam/heat visible"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""metallic"", ""presence_of_utensils"": ""utensils present""}]"
n07590611_10455.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = ceramic,context_of_use = in use,presence_of_steam_or_heat = steam/heat visible,handles_or_lugs = no handles,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = no utensils,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""ceramic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""steam/heat visible"", ""handles_or_lugs"": ""no handles"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""no utensils""}]"
n07590611_10471.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = metallic,context_of_use = in use,presence_of_steam_or_heat = no steam/heat,handles_or_lugs = handles present,shape_complexity = simple shape,color_palette = metallic,presence_of_utensils = no utensils,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""metallic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""no steam/heat"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""metallic"", ""presence_of_utensils"": ""no utensils""}]"
n07590611_10504.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = metallic,context_of_use = in use,presence_of_steam_or_heat = no steam/heat,handles_or_lugs = handles present,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = no utensils,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""metallic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""no steam/heat"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""no utensils""}]"
n07590611_10516.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = ceramic,context_of_use = in use,presence_of_steam_or_heat = no steam/heat,handles_or_lugs = handles present,shape_complexity = simple shape,color_palette = earthy,presence_of_utensils = no utensils,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""ceramic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""no steam/heat"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""earthy"", ""presence_of_utensils"": ""no utensils""}]"
n07590611_10531.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = ceramic,context_of_use = in use,presence_of_steam_or_heat = no steam/heat,handles_or_lugs = handles present,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = no utensils,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""ceramic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""no steam/heat"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""no utensils""}]"
n07590611_1055.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = metallic,context_of_use = in use,presence_of_steam_or_heat = no steam/heat,handles_or_lugs = handles present,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = no utensils,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""metallic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""no steam/heat"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""no utensils""}]"
n07590611_10558.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = ceramic,context_of_use = in use,presence_of_steam_or_heat = no steam/heat,handles_or_lugs = no handles,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = no utensils,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""ceramic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""no steam/heat"", ""handles_or_lugs"": ""no handles"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""no utensils""}]"
n07590611_10571.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = ceramic,context_of_use = in use,presence_of_steam_or_heat = no steam/heat,handles_or_lugs = handles present,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = utensils present,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""ceramic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""no steam/heat"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""utensils present""}]"
n07590611_10580.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = metallic,context_of_use = in use,presence_of_steam_or_heat = steam/heat visible,handles_or_lugs = handles present,shape_complexity = simple shape,color_palette = earthy,presence_of_utensils = utensils present,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""metallic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""steam/heat visible"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""earthy"", ""presence_of_utensils"": ""utensils present""}]"
n07590611_1061.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = metallic,context_of_use = in use,presence_of_steam_or_heat = steam/heat visible,handles_or_lugs = handles present,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = no utensils,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""metallic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""steam/heat visible"", ""handles_or_lugs"": ""handles present"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""no utensils""}]"
n07590611_10633.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = ceramic,context_of_use = in use,presence_of_steam_or_heat = steam/heat visible,handles_or_lugs = no handles,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = no utensils,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""ceramic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""steam/heat visible"", ""handles_or_lugs"": ""no handles"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""no utensils""}]"
n07590611_1064.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = ceramic,context_of_use = in use,presence_of_steam_or_heat = no steam/heat,handles_or_lugs = not visible,shape_complexity = simple shape,color_palette = food colors,presence_of_utensils = no utensils,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""ceramic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""no steam/heat"", ""handles_or_lugs"": ""not visible"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""food colors"", ""presence_of_utensils"": ""no utensils""}]"
n07590611_10657.JPEG,hotpot,presence_of_liquid_contents = liquid present,visible_food_ingredients = food visible,surface_decoration = plain,material_appearance = ceramic,context_of_use = in use,presence_of_steam_or_heat = no steam/heat,handles_or_lugs = no handles,shape_complexity = simple shape,color_palette = earthy,presence_of_utensils = no utensils,"[{""presence_of_liquid_contents"": ""liquid present"", ""visible_food_ingredients"": ""food visible"", ""surface_decoration"": ""plain"", ""material_appearance"": ""ceramic"", ""context_of_use"": ""in use"", ""presence_of_steam_or_heat"": ""no steam/heat"", ""handles_or_lugs"": ""no handles"", ""shape_complexity"": ""simple shape"", ""color_palette"": ""earthy"", ""presence_of_utensils"": ""no utensils""}]"
